GivenName;Surname;SamAccountName;Userlogon;Password;OU;Description;Groupe;Pays
Divock;Origi;Divock.Origi;Divock.Origi;Install!;LILLE; Belgique,attaquant;attaquant; Belgique
Sylvio;Rodelin;Sylvio.Rodelin;Sylvio.Rodelin;Install!;LILLE; France,attaquant;attaquant; France
Nolan;Roux;Nolan.Roux;Nolan.Roux;Install!;LILLE; France,attaquant;attaquant; France
Michel;SEYDOUX;Michel.SEYDOUX;Michel.SEYDOUX;Install!;LILLE; France,Président;Président; France
Jean-François;FORTIN;Jean-François.FORTIN;Jean-François.FORTIN;Install!;CAEN; France,Président;Président; France
Damien;Perquis;Damien.Perquis;Damien.Perquis;Install!;CAEN; France,gardien;gardien; France
Paul;Reulet;Paul.Reulet;Paul.Reulet;Install!;CAEN; France,gardien;gardien; France
Rémy;Vercoutre;Rémy.Vercoutre;Rémy.Vercoutre;Install!;CAEN; France,gardien;gardien; France
Jordan;Adéoti;Jordan.Adéoti;Jordan.Adéoti;Install!;CAEN; Bénin,défenseur;défenseur; Bénin
Dennis;Appiah;Dennis.Appiah;Dennis.Appiah;Install!;CAEN; France,défenseur;défenseur; France
Jean;Calvé;Jean.Calvé;Jean.Calvé;Install!;CAEN; France,défenseur;défenseur; France
Damien;Da Silva;Damien.Da Silva;Damien.Da Silva;Install!;CAEN; France,défenseur;défenseur; France
Felipe;Saad;Felipe.Saad;Felipe.Saad;Install!;CAEN; Brésil,défenseur;défenseur; Brésil
Emmanuel;Imorou;Emmanuel.Imorou;Emmanuel.Imorou;Install!;CAEN; Bénin,défenseur;défenseur; Bénin
Yroundu;Musavu-King;Yroundu.Musavu-King;Yroundu.Musavu-King;Install!;CAEN; Gabon,défenseur;défenseur; Gabon
Jean-Jacqu;Pierre;Jean-Jacqu.Pierre;Jean-Jacqu.Pierre;Install!;CAEN; Haïti,défenseur;défenseur; Haïti
Alexandre;Raineau;Alexandre.Raineau;Alexandre.Raineau;Install!;CAEN; France,défenseur;défenseur; France
Alaeddine;Yahia;Alaeddine.Yahia;Alaeddine.Yahia;Install!;CAEN; Tunisie,défenseur;défenseur; Tunisie
Hervé;Bazile;Hervé.Bazile;Hervé.Bazile;Install!;CAEN; France,milieu de terrain;milieu de terrain; France
Jonathan;Beaulieu;Jonathan.Beaulieu;Jonathan.Beaulieu;Install!;CAEN; France,milieu de terrain;milieu de terrain; France
Julien;Féret;Julien.Féret;Julien.Féret;Install!;CAEN; France,milieu de terrain;milieu de terrain; France
NGolo;Kanté;NGolo.Kanté;NGolo.Kanté;Install!;CAEN; France,milieu de terrain;milieu de terrain; France
Thomas;Lemar;Thomas.Lemar;Thomas.Lemar;Install!;CAEN; France,milieu de terrain;milieu de terrain; France
José;Saez;José.Saez;José.Saez;Install!;CAEN; France,milieu de terrain;milieu de terrain; France
Nicolas;Seube;Nicolas.Seube;Nicolas.Seube;Install!;CAEN; France,milieu de terrain;milieu de terrain; France
Mathieu;Duhamel;Mathieu.Duhamel;Mathieu.Duhamel;Install!;CAEN; France,attaquant;attaquant; France
Bengali;Koïta;Bengali.Koïta;Bengali.Koïta;Install!;CAEN; France,attaquant;attaquant; France
Lenny;Nangis;Lenny.Nangis;Lenny.Nangis;Install!;CAEN; France,attaquant;attaquant; France
Sloan;Privat;Sloan.Privat;Sloan.Privat;Install!;CAEN; France,attaquant;attaquant; France
Florian;Raspentino;Florian.Raspentino;Florian.Raspentino;Install!;CAEN; France,attaquant;attaquant; France
